StartPoint EndPoint cM/Mb
1 1 20000 NA
2 20001 40000 NA
3 40001 60000 NA
4 60001 80000 NA
5 80001 100000 NA
6 100001 120000 NA
7 120001 140000 NA
8 140001 160000 NA
9 160001 180000 NA
10 180001 200000 NA
11 200001 220000 NA
12 220001 240000 NA
13 240001 260000 NA
14 260001 280000 NA
15 280001 300000 7.92934904293385
16 300001 320000 7.92934904293385
17 320001 340000 7.92934904293385
18 340001 360000 7.92934904293385
19 360001 380000 7.92934904293385
20 380001 400000 7.92934904293385
21 400001 420000 7.92934904293384
22 420001 440000 7.92934904293385
23 440001 460000 7.92934904293385
24 460001 480000 7.92934904293384
25 480001 500000 7.92934904293385
26 500001 520000 4.92243593284001
27 520001 540000 2.88020922019945
28 540001 560000 2.88020922019945
29 560001 580000 2.88020922019946
30 580001 600000 2.88020922019946
31 600001 620000 2.88020922019946
32 620001 640000 2.88020922019946
33 640001 660000 2.88020922019946
34 660001 680000 2.88020922019946
35 680001 700000 2.88020922019946
36 700001 720000 2.88020922019943
37 720001 740000 2.88020922019943
38 740001 760000 2.88020922019943
39 760001 780000 3.11919856158495
40 780001 800000 5.58970345963756
41 800001 820000 5.58970345963756
42 820001 840000 5.58970345963756
43 840001 860000 5.58970345963756
44 860001 880000 5.58970345963756
45 880001 900000 5.58970345963756
46 900001 920000 5.58970345963756
47 920001 940000 5.58970345963756
48 940001 960000 5.58970345963756
49 960001 980000 5.58970345963756
50 980001 1000000 5.58970345963756
51 1000001 1020000 5.58970345963756
52 1020001 1040000 5.58970345963761
53 1040001 1060000 5.58970345963756
54 1060001 1080000 5.58970345963756
55 1080001 1100000 5.58970345963756
56 1100001 1120000 5.58970345963752
57 1120001 1140000 5.58970345963756
58 1140001 1160000 5.58970345963756
59 1160001 1180000 3.47753469250046
60 1180001 1200000 2.4098432387722
61 1200001 1220000 2.4098432387722
62 1220001 1240000 2.4098432387722
63 1240001 1260000 2.4098432387722
64 1260001 1280000 2.40984323877225
65 1280001 1300000 2.4098432387722
66 1300001 1320000 2.4098432387722
67 1320001 1340000 2.40984323877225
68 1340001 1360000 2.4098432387722
69 1360001 1380000 2.40984323877225
70 1380001 1400000 2.4098432387722
71 1400001 1420000 2.4098432387722
72 1420001 1440000 2.4098432387722
73 1440001 1460000 2.4098432387722
74 1460001 1480000 2.40984323877225
75 1480001 1500000 2.4098432387722
76 1500001 1520000 2.4098432387722
77 1520001 1540000 2.40984323877225
78 1540001 1560000 2.4098432387722
79 1560001 1580000 2.4098432387722
